2025-07-04 10:59:28 | INFO     | app.services.ocr_service:_init_easyocr:90 - EasyOCR初始化成功
2025-07-04 10:59:28 | WARNING  | app.services.ocr_service:_init_tesseract:116 - Tesseract未安装或配置错误
2025-07-04 10:59:29 | ERROR    | app.services.ocr_service:_init_trocr:152 - TrOCR初始化失败: (ProtocolError('Connection aborted.', ConnectionResetError(10054, '远程主机强迫关闭了一个现有的连接。', None, 10054, None)), '(Request ID: c79da1ce-b8b0-478a-9724-34a7eb897907)')
2025-07-04 10:59:29 | INFO     | app.services.model_manager:_load_config:41 - 模型配置加载成功: models\config\model_config.json
2025-07-04 10:59:29 | INFO     | app.services.model_manager:_get_device:57 - 未检测到CUDA，使用CPU
2025-07-04 10:59:29 | INFO     | app.services.model_manager:__init__:24 - 模型管理器初始化完成，使用设备: cpu
2025-07-04 10:59:29 | INFO     | app.services.layout_detection_service:_init_yolov8:49 - 使用YOLOv8预训练模型
2025-07-04 10:59:29 | INFO     | app.services.layout_detection_service:_init_yolov8:56 - YOLOv8布局检测模型初始化成功
2025-07-04 10:59:29 | INFO     | app.services.model_manager:_load_config:41 - 模型配置加载成功: models\config\model_config.json
2025-07-04 10:59:29 | INFO     | app.services.model_manager:_get_device:57 - 未检测到CUDA，使用CPU
2025-07-04 10:59:29 | INFO     | app.services.model_manager:__init__:24 - 模型管理器初始化完成，使用设备: cpu
2025-07-04 10:59:29 | WARNING  | app.services.text_detection_service:_init_dbnet:41 - DBNet模型文件不存在: models\models\text_recognition\dbnet_resnet50.pth
2025-07-04 10:59:29 | INFO     | app.services.text_detection_service:_init_dbnet:42 - 将使用OpenCV文本检测作为替代
2025-07-04 10:59:29 | INFO     | app.services.element_detector:__init__:21 - 元素检测器初始化完成
2025-07-04 10:59:29 | INFO     | app.services.model_manager:_load_config:41 - 模型配置加载成功: models\config\model_config.json
2025-07-04 10:59:29 | INFO     | app.services.model_manager:_get_device:57 - 未检测到CUDA，使用CPU
2025-07-04 10:59:29 | INFO     | app.services.model_manager:__init__:24 - 模型管理器初始化完成，使用设备: cpu
2025-07-04 10:59:29 | WARNING  | app.services.line_detection_service:_init_yolo_line_detector:54 - 专用管线检测模型不存在，将使用传统算法
2025-07-04 10:59:29 | INFO     | app.services.line_detection_service:_init_opencv_detector:85 - OpenCV管线检测器初始化成功
2025-07-04 10:59:30 | INFO     | app.services.layout_analyzer:__init__:19 - AI布局分析器初始化完成
2025-07-04 10:59:30 | INFO     | app.services.element_detector:__init__:21 - 元素检测器初始化完成
2025-07-04 10:59:33 | INFO     | app.services.model_manager:_load_config:41 - 模型配置加载成功: models\config\model_config.json
2025-07-04 10:59:33 | INFO     | app.services.model_manager:_get_device:57 - 未检测到CUDA，使用CPU
2025-07-04 10:59:33 | INFO     | app.services.model_manager:__init__:24 - 模型管理器初始化完成，使用设备: cpu
2025-07-04 10:59:34 | INFO     | app.services.layout_detection_service:_init_yolov8:49 - 使用YOLOv8预训练模型
2025-07-04 10:59:34 | INFO     | app.services.layout_detection_service:_init_yolov8:56 - YOLOv8布局检测模型初始化成功
2025-07-04 10:59:34 | INFO     | app.services.model_manager:_load_config:41 - 模型配置加载成功: models\config\model_config.json
2025-07-04 10:59:34 | INFO     | app.services.model_manager:_get_device:57 - 未检测到CUDA，使用CPU
2025-07-04 10:59:34 | INFO     | app.services.model_manager:__init__:24 - 模型管理器初始化完成，使用设备: cpu
2025-07-04 10:59:45 | INFO     | app.services.ocr_service:_init_paddleocr:71 - PaddleOCR初始化成功
2025-07-04 10:59:49 | INFO     | app.services.ocr_service:_init_easyocr:90 - EasyOCR初始化成功
2025-07-04 10:59:49 | WARNING  | app.services.ocr_service:_init_tesseract:116 - Tesseract未安装或配置错误
2025-07-04 10:59:51 | ERROR    | app.services.ocr_service:_init_trocr:152 - TrOCR初始化失败: (ProtocolError('Connection aborted.', ConnectionResetError(10054, '远程主机强迫关闭了一个现有的连接。', None, 10054, None)), '(Request ID: 144000ae-4028-4db0-b3f8-fbcbf222cb06)')
2025-07-04 10:59:51 | INFO     | app.services.layout_analyzer:__init__:19 - AI布局分析器初始化完成
2025-07-04 10:59:51 | INFO     | app.services.model_manager:_load_config:41 - 模型配置加载成功: models\config\model_config.json
2025-07-04 10:59:51 | INFO     | app.services.model_manager:_get_device:57 - 未检测到CUDA，使用CPU
2025-07-04 10:59:51 | INFO     | app.services.model_manager:__init__:24 - 模型管理器初始化完成，使用设备: cpu
2025-07-04 10:59:51 | WARNING  | app.services.text_detection_service:_init_dbnet:41 - DBNet模型文件不存在: models\models\text_recognition\dbnet_resnet50.pth
2025-07-04 10:59:51 | INFO     | app.services.text_detection_service:_init_dbnet:42 - 将使用OpenCV文本检测作为替代
2025-07-04 10:59:51 | INFO     | app.services.element_detector:__init__:21 - 元素检测器初始化完成
2025-07-08 16:06:01 | INFO     | app.services.model_manager:_load_config:41 - 模型配置加载成功: models\config\model_config.json
2025-07-08 16:06:01 | INFO     | app.services.model_manager:_get_device:57 - 未检测到CUDA，使用CPU
2025-07-08 16:06:01 | INFO     | app.services.model_manager:__init__:24 - 模型管理器初始化完成，使用设备: cpu
2025-07-08 16:06:02 | INFO     | app.services.layout_detection_service:_init_yolov8:49 - 使用YOLOv8预训练模型
2025-07-08 16:06:02 | INFO     | app.services.layout_detection_service:_init_yolov8:56 - YOLOv8布局检测模型初始化成功
2025-07-08 16:06:02 | INFO     | app.services.model_manager:_load_config:41 - 模型配置加载成功: models\config\model_config.json
2025-07-08 16:06:02 | INFO     | app.services.model_manager:_get_device:57 - 未检测到CUDA，使用CPU
2025-07-08 16:06:02 | INFO     | app.services.model_manager:__init__:24 - 模型管理器初始化完成，使用设备: cpu
2025-07-08 16:06:28 | INFO     | app.services.ocr_service:_init_paddleocr:71 - PaddleOCR初始化成功
2025-07-08 16:06:32 | INFO     | app.services.ocr_service:_init_easyocr:90 - EasyOCR初始化成功
2025-07-08 16:06:32 | WARNING  | app.services.ocr_service:_init_tesseract:116 - Tesseract未安装或配置错误
2025-07-08 16:07:05 | INFO     | app.services.ocr_service:_init_trocr:147 - TrOCR模型初始化成功: microsoft/trocr-base-printed
2025-07-08 16:07:05 | INFO     | app.services.layout_analyzer:__init__:19 - AI布局分析器初始化完成
2025-07-08 16:07:05 | INFO     | app.services.model_manager:_load_config:41 - 模型配置加载成功: models\config\model_config.json
2025-07-08 16:07:05 | INFO     | app.services.model_manager:_get_device:57 - 未检测到CUDA，使用CPU
2025-07-08 16:07:05 | INFO     | app.services.model_manager:__init__:24 - 模型管理器初始化完成，使用设备: cpu
2025-07-08 16:07:05 | WARNING  | app.services.text_detection_service:_init_dbnet:41 - DBNet模型文件不存在: models\models\text_recognition\dbnet_resnet50.pth
2025-07-08 16:07:05 | INFO     | app.services.text_detection_service:_init_dbnet:42 - 将使用OpenCV文本检测作为替代
2025-07-08 16:07:05 | INFO     | app.services.element_detector:__init__:21 - 元素检测器初始化完成
2025-07-08 19:45:11 | INFO     | app.services.model_manager:_load_config:41 - 模型配置加载成功: models\config\model_config.json
2025-07-08 19:45:11 | INFO     | app.services.model_manager:_get_device:57 - 未检测到CUDA，使用CPU
2025-07-08 19:45:11 | INFO     | app.services.model_manager:__init__:24 - 模型管理器初始化完成，使用设备: cpu
2025-07-08 19:45:14 | INFO     | app.services.layout_detection_service:_init_yolov8:49 - 使用YOLOv8预训练模型
2025-07-08 19:45:14 | INFO     | app.services.layout_detection_service:_init_yolov8:56 - YOLOv8布局检测模型初始化成功
2025-07-08 19:45:14 | INFO     | app.services.model_manager:_load_config:41 - 模型配置加载成功: models\config\model_config.json
2025-07-08 19:45:14 | INFO     | app.services.model_manager:_get_device:57 - 未检测到CUDA，使用CPU
2025-07-08 19:45:14 | INFO     | app.services.model_manager:__init__:24 - 模型管理器初始化完成，使用设备: cpu
2025-07-08 19:45:30 | INFO     | app.services.ocr_service:_init_paddleocr:71 - PaddleOCR初始化成功
2025-07-08 19:45:33 | INFO     | app.services.ocr_service:_init_easyocr:90 - EasyOCR初始化成功
2025-07-08 19:45:33 | WARNING  | app.services.ocr_service:_init_tesseract:116 - Tesseract未安装或配置错误
2025-07-08 19:45:46 | INFO     | app.services.ocr_service:_init_trocr:147 - TrOCR模型初始化成功: microsoft/trocr-base-printed
2025-07-08 19:45:46 | INFO     | app.services.layout_analyzer:__init__:19 - AI布局分析器初始化完成
2025-07-08 19:45:46 | INFO     | app.services.model_manager:_load_config:41 - 模型配置加载成功: models\config\model_config.json
2025-07-08 19:45:46 | INFO     | app.services.model_manager:_get_device:57 - 未检测到CUDA，使用CPU
2025-07-08 19:45:46 | INFO     | app.services.model_manager:__init__:24 - 模型管理器初始化完成，使用设备: cpu
2025-07-08 19:45:46 | WARNING  | app.services.text_detection_service:_init_dbnet:41 - DBNet模型文件不存在: models\models\text_recognition\dbnet_resnet50.pth
2025-07-08 19:45:46 | INFO     | app.services.text_detection_service:_init_dbnet:42 - 将使用OpenCV文本检测作为替代
2025-07-08 19:45:46 | INFO     | app.services.element_detector:__init__:21 - 元素检测器初始化完成
2025-07-08 20:12:17 | INFO     | app.services.model_manager:_load_config:41 - 模型配置加载成功: models\config\model_config.json
2025-07-08 20:12:17 | INFO     | app.services.model_manager:_get_device:57 - 未检测到CUDA，使用CPU
2025-07-08 20:12:17 | INFO     | app.services.model_manager:__init__:24 - 模型管理器初始化完成，使用设备: cpu
2025-07-08 20:12:20 | INFO     | app.services.layout_detection_service:_init_yolov8:49 - 使用YOLOv8预训练模型
2025-07-08 20:12:20 | INFO     | app.services.layout_detection_service:_init_yolov8:56 - YOLOv8布局检测模型初始化成功
2025-07-08 20:12:20 | INFO     | app.services.model_manager:_load_config:41 - 模型配置加载成功: models\config\model_config.json
2025-07-08 20:12:20 | INFO     | app.services.model_manager:_get_device:57 - 未检测到CUDA，使用CPU
2025-07-08 20:12:20 | INFO     | app.services.model_manager:__init__:24 - 模型管理器初始化完成，使用设备: cpu
2025-07-08 20:12:40 | INFO     | app.services.ocr_service:_init_paddleocr:71 - PaddleOCR初始化成功
2025-07-08 20:12:44 | INFO     | app.services.ocr_service:_init_easyocr:90 - EasyOCR初始化成功
2025-07-08 20:12:44 | WARNING  | app.services.ocr_service:_init_tesseract:116 - Tesseract未安装或配置错误
2025-07-08 20:13:10 | INFO     | app.services.ocr_service:_init_trocr:147 - TrOCR模型初始化成功: microsoft/trocr-base-printed
2025-07-08 20:13:10 | INFO     | app.services.layout_analyzer:__init__:19 - AI布局分析器初始化完成
2025-07-08 20:13:10 | INFO     | app.services.model_manager:_load_config:41 - 模型配置加载成功: models\config\model_config.json
2025-07-08 20:13:10 | INFO     | app.services.model_manager:_get_device:57 - 未检测到CUDA，使用CPU
2025-07-08 20:13:10 | INFO     | app.services.model_manager:__init__:24 - 模型管理器初始化完成，使用设备: cpu
2025-07-08 20:13:10 | WARNING  | app.services.text_detection_service:_init_dbnet:41 - DBNet模型文件不存在: models\models\text_recognition\dbnet_resnet50.pth
2025-07-08 20:13:10 | INFO     | app.services.text_detection_service:_init_dbnet:42 - 将使用OpenCV文本检测作为替代
2025-07-08 20:13:10 | INFO     | app.services.element_detector:__init__:21 - 元素检测器初始化完成
2025-07-08 20:13:14 | INFO     | app.services.model_manager:_load_config:41 - 模型配置加载成功: models\config\model_config.json
2025-07-08 20:13:14 | INFO     | app.services.model_manager:_get_device:57 - 未检测到CUDA，使用CPU
2025-07-08 20:13:14 | INFO     | app.services.model_manager:__init__:24 - 模型管理器初始化完成，使用设备: cpu
2025-07-08 20:13:14 | INFO     | app.services.layout_detection_service:_init_yolov8:49 - 使用YOLOv8预训练模型
2025-07-08 20:13:14 | INFO     | app.services.layout_detection_service:_init_yolov8:56 - YOLOv8布局检测模型初始化成功
2025-07-08 20:13:14 | INFO     | app.services.model_manager:_load_config:41 - 模型配置加载成功: models\config\model_config.json
